"date","year","month","glacier_671159","glacier_671135","glacier_671117","glacier_711633","glacier_711631","glacier_711605","month_code","maxTemp","minTemp","precip","snowfall"
"1988-09",1988,"09",NA,NA,NA,NA,NA,NA,"Sep",77.3,47.2,2.02,0
"1988-10",1988,"10",NA,NA,NA,NA,NA,NA,"Oct",69.8,39.7,0.03,0
"1988-11",1988,"11",NA,NA,NA,NA,NA,NA,"Nov",54.2,29,0.75,5.7
"1988-12",1988,"12",NA,NA,NA,NA,NA,NA,"Dec",45.4,20.1,2.16,31.5
"1989-01",1989,"01",NA,NA,NA,NA,NA,NA,"Jan",49.5,23.4,1.19,14.2
"1989-02",1989,"02",NA,NA,NA,NA,NA,NA,"Feb",35.3,12.8,1.27,14.8
"1989-03",1989,"03",NA,NA,NA,NA,NA,NA,"Mar",60.1,29.7,0.97,10.5
"1989-04",1989,"04",NA,NA,NA,NA,NA,NA,"Apr",65,37.4,1.95,15.8
"1989-05",1989,"05",0.1881,0.1008,0.1035,0.2169,0.1539,0.4077,"May",74,44.4,2.68,0
"1989-06",1989,"06",0.1809,0.1908,0.1062,0.2169,0.1575,0.4068,"Jun",78.6,49.9,2.93,0
"1989-07",1989,"07",0.1989,0.1971,0.1206,NA,NA,NA,"Jul",89.5,56.9,1.43,0
"1989-08",1989,"08",NA,NA,NA,NA,NA,NA,"Aug",NA,NA,NA,NA
"1989-09",1989,"09",NA,NA,NA,NA,NA,NA,"Sep",NA,NA,NA,NA
"1989-10",1989,"10",NA,NA,NA,NA,NA,NA,"Oct",NA,NA,NA,NA
"1989-11",1989,"11",NA,NA,NA,NA,NA,NA,"Nov",NA,NA,NA,NA
"1989-12",1989,"12",NA,NA,NA,NA,NA,NA,"Dec",NA,NA,NA,NA
"1990-01",1990,"01",NA,NA,NA,NA,NA,NA,"Jan",NA,NA,NA,NA
"1990-02",1990,"02",NA,NA,NA,NA,NA,NA,"Feb",NA,NA,NA,NA
"1990-03",1990,"03",NA,NA,NA,NA,NA,NA,"Mar",NA,NA,NA,NA
"1990-04",1990,"04",NA,NA,NA,NA,NA,NA,"Apr",60.6,35.4,2.16,7.6
"1990-05",1990,"05",0.1764,NA,0.0954,NA,NA,NA,"May",68.9,40.4,1.73,0.1
"1990-06",1990,"06",0.1827,0.1944,0.1035,0.2196,0.1611,0.4014,"Jun",86.4,53.5,0.39,0
"1990-07",1990,"07",0.1611,0.1809,0.1188,0.2295,0.153,0.4185,"Jul",81.6,55.6,4.23,0
"1990-08",1990,"08",NA,NA,NA,NA,NA,NA,"Aug",82.8,54.7,1.13,0
"1990-09",1990,"09",NA,NA,NA,NA,NA,NA,"Sep",77.9,51.5,1.84,0
"1990-10",1990,"10",NA,NA,NA,NA,NA,NA,"Oct",68.7,39.5,0.96,6.1
"1990-11",1990,"11",NA,NA,NA,NA,NA,NA,"Nov",57.8,32.5,1.6,17.1
"1990-12",1990,"12",NA,NA,NA,NA,NA,NA,"Dec",40.4,14.2,0.75,12.7
"1991-01",1991,"01",NA,NA,NA,NA,NA,NA,"Jan",42.3,17.5,1.05,17
"1991-02",1991,"02",NA,NA,NA,NA,NA,NA,"Feb",53.2,28.7,0.15,2.8
"1991-03",1991,"03",NA,NA,NA,NA,NA,NA,"Mar",55.1,30.4,0.43,2
"1991-04",1991,"04",0.1809,NA,NA,NA,NA,NA,"Apr",59.9,35.6,2.41,19.1
"1991-05",1991,"05",0.1863,0.1485,0.1206,0.2133,0.1539,0.4239,"May",71.6,44.8,2.9,0.4
"1991-06",1991,"06",0.1818,0.1962,0.1071,0.2286,0.1611,0.4041,"Jun",79.9,53.2,3.59,0
"1991-07",1991,"07",0.1863,0.1944,0.1224,0.2358,0.1647,0.4023,"Jul",84,57,3.11,0
"1991-08",1991,"08",NA,NA,NA,NA,NA,NA,"Aug",82.4,56,2.08,0
"1991-09",1991,"09",NA,NA,NA,NA,NA,NA,"Sep",75.7,47.6,1.21,0
"1991-10",1991,"10",NA,NA,NA,NA,NA,NA,"Oct",66.6,37.9,0.93,13.6
"1991-11",1991,"11",NA,NA,NA,NA,NA,NA,"Nov",47.8,26.3,3.3,28.9
"1991-12",1991,"12",NA,NA,NA,NA,NA,NA,"Dec",46.9,23.7,0.01,0.2
"1992-01",1992,"01",NA,NA,NA,NA,NA,NA,"Jan",48.2,22.9,0.67,10.9
"1992-02",1992,"02",NA,NA,NA,NA,NA,NA,"Feb",52.2,29,NA,NA
"1992-03",1992,"03",NA,NA,NA,NA,NA,NA,"Mar",54.8,31.8,5.17,19.7
"1992-04",1992,"04",NA,NA,NA,NA,NA,0.4032,"Apr",68.1,40.4,0.46,0
"1992-05",1992,"05",0.1791,0.0981,0.1071,0.2313,0.1638,0.4104,"May",73,45.1,1.7,0
"1992-06",1992,"06",0.1926,0.1953,0.1242,0.2322,0.1638,0.4176,"Jun",76.4,49.4,0.96,0
"1992-07",1992,"07",0.1899,0.1971,0.1152,0.2268,0.1647,0.4059,"Jul",83,53.6,1.13,0
"1992-08",1992,"08",NA,NA,NA,NA,NA,NA,"Aug",80,52.6,3.08,0
"1992-09",1992,"09",NA,NA,NA,NA,NA,NA,"Sep",79.4,49.4,0.02,0
"1992-10",1992,"10",NA,NA,NA,NA,NA,NA,"Oct",68.4,39.7,0.79,NA
"1992-11",1992,"11",NA,NA,NA,NA,NA,NA,"Nov",45.7,22.7,2.56,44.7
"1992-12",1992,"12",NA,NA,NA,NA,NA,NA,"Dec",41.3,17.4,0.84,18.8
"1993-01",1993,"01",NA,NA,NA,NA,NA,NA,"Jan",39,17.6,0.25,5.8
"1993-02",1993,"02",NA,NA,NA,NA,NA,NA,"Feb",40.9,20.2,0.9,9.3
"1993-03",1993,"03",NA,NA,NA,NA,NA,NA,"Mar",54.9,30.7,2.15,11.9
"1993-04",1993,"04",NA,NA,NA,NA,NA,NA,"Apr",60.2,34.9,2.56,4.7
"1993-05",1993,"05",0.1683,NA,NA,0.2142,0.1287,0.4203,"May",70.5,44.5,1.73,NA
"1993-06",1993,"06",0.1818,0.1296,0.1107,0.2331,0.162,0.4059,"Jun",79.3,49.7,3.38,0
"1993-07",1993,"07",0.1872,NA,0.1224,0.2322,0.162,0.4104,"Jul",84.3,54.6,1.4,0
"1993-08",1993,"08",NA,NA,NA,NA,NA,NA,"Aug",NA,NA,NA,NA
"1993-09",1993,"09",NA,NA,NA,NA,NA,NA,"Sep",73.6,43.9,3.32,1.4
"1993-10",1993,"10",NA,NA,NA,NA,NA,NA,"Oct",61.6,35.7,2.42,10.5
"1993-11",1993,"11",NA,NA,NA,NA,NA,NA,"Nov",48.1,23.1,2.17,27
"1993-12",1993,"12",NA,NA,NA,NA,NA,NA,"Dec",47,24.1,0.55,9
"1994-01",1994,"01",NA,NA,NA,NA,NA,NA,"Jan",48.8,23.6,0.86,11.5
"1994-02",1994,"02",NA,NA,NA,NA,NA,NA,"Feb",45.9,19.3,1.37,15.4
"1994-03",1994,"03",NA,NA,NA,NA,NA,NA,"Mar",57.5,30.1,1.61,14.9
"1994-04",1994,"04",0.1845,NA,NA,0.1791,0.1008,0.4023,"Apr",61.5,33.7,3.46,22.8
"1994-05",1994,"05",0.1854,0.1611,0.1143,0.2286,0.1629,0.4014,"May",77,44.6,1.35,0
"1994-06",1994,"06",0.1863,0.1953,0.1161,0.2106,0.1539,0.3852,"Jun",86.8,53.1,0.93,0
"1994-07",1994,"07",0.1836,NA,NA,0.2223,0.1584,0.4284,"Jul",86.3,56,0.35,0
"1994-08",1994,"08",NA,NA,NA,NA,NA,NA,"Aug",85,56.7,2.56,0
"1994-09",1994,"09",NA,NA,NA,NA,NA,NA,"Sep",79.7,50.2,0.54,0.4
"1994-10",1994,"10",NA,NA,NA,NA,NA,NA,"Oct",63,38.1,1.02,NA
"1994-11",1994,"11",NA,NA,NA,NA,NA,NA,"Nov",47.6,25.5,2.25,23.7
"1994-12",1994,"12",NA,NA,NA,NA,NA,NA,"Dec",48.4,23.8,0.49,10.3
"1995-01",1995,"01",NA,NA,NA,NA,NA,NA,"Jan",46.9,22.1,0.64,12
"1995-02",1995,"02",NA,NA,NA,NA,NA,NA,"Feb",52.1,24.9,1.53,16.3
"1995-03",1995,"03",NA,NA,NA,NA,NA,NA,"Mar",55.2,29,1.21,16.4
"1995-04",1995,"04",NA,NA,NA,NA,NA,NA,"Apr",57.2,33,4.95,24.1
"1995-05",1995,"05",0.1836,0.1089,0.1089,0.2007,0.108,0.4275,"May",62.4,39.4,9.59,0.8
"1995-06",1995,"06",0.18,NA,0.1125,0.2385,0.1656,0.4221,"Jun",76.1,48.6,4.03,0
"1995-07",1995,"07",0.1926,NA,0,0.2187,0.0171,0.0081,"Jul",86,55,0.72,0
"1995-08",1995,"08",NA,NA,NA,NA,NA,NA,"Aug",89.8,58.1,1.45,0
"1995-09",1995,"09",NA,NA,NA,NA,NA,NA,"Sep",73.7,47.1,2.96,8.6
"1995-10",1995,"10",NA,NA,NA,NA,NA,NA,"Oct",66.6,36.4,0.59,3.1
"1995-11",1995,"11",NA,NA,NA,NA,NA,NA,"Nov",57.8,32,1.51,17.8
"1995-12",1995,"12",NA,NA,NA,NA,NA,NA,"Dec",48.3,24.2,0.25,3.4
"1996-01",1996,"01",NA,NA,NA,NA,NA,NA,"Jan",43,16.6,2.19,24.4
"1996-02",1996,"02",NA,NA,NA,NA,NA,NA,"Feb",51,24.3,0.29,5.9
"1996-03",1996,"03",NA,NA,NA,NA,NA,NA,"Mar",51.1,24.8,2.16,17.7
"1996-04",1996,"04",0.1926,NA,NA,NA,NA,NA,"Apr",64.1,36.7,1.49,7.6
"1996-05",1996,"05",0.1674,0.0936,0.1062,0.2349,0.1647,0.4041,"May",73.4,44.3,4.63,0
"1996-06",1996,"06",0.1764,0.1863,0.108,0.2133,0.1539,0.3897,"Jun",82,51.8,2.77,0
"1996-07",1996,"07",0.0099,0.0648,0.0819,0.2187,0.1575,0.3942,"Jul",85.4,57.5,1.96,0
"1996-08",1996,"08",NA,NA,NA,NA,NA,NA,"Aug",85.2,53.8,0.63,0
"1996-09",1996,"09",NA,NA,NA,NA,NA,NA,"Sep",75.4,46.1,3.48,6.1
"1996-10",1996,"10",NA,NA,NA,NA,NA,NA,"Oct",66.7,39.4,0.28,0.1
"1996-11",1996,"11",NA,NA,NA,NA,NA,NA,"Nov",53.7,27.5,1.43,16.6
"1996-12",1996,"12",NA,NA,NA,NA,NA,NA,"Dec",49.1,23.8,0.37,6.1
"1997-01",1997,"01",NA,NA,NA,NA,NA,NA,"Jan",43.6,18.9,0.87,19
"1997-02",1997,"02",NA,NA,NA,NA,NA,NA,"Feb",43.2,22.2,1.83,28.8
"1997-03",1997,"03",NA,NA,NA,NA,NA,NA,"Mar",60.7,30.3,0.91,14.1
"1997-04",1997,"04",0.1629,NA,NA,0.1269,NA,NA,"Apr",55.5,30.1,5.77,38.6
"1997-05",1997,"05",0.1701,NA,0.0747,0.1836,NA,0.3951,"May",71.5,43.3,2.19,NA
"1997-06",1997,"06",0.1998,NA,0,0.2277,0.1323,0.4176,"Jun",80.3,52.6,3.69,0
"1997-07",1997,"07",0.1989,NA,0,0.2079,0.1602,0.3861,"Jul",86,56.8,1.14,0
"1997-08",1997,"08",NA,NA,NA,NA,NA,NA,"Aug",81.5,55.9,5.27,0
"1997-09",1997,"09",NA,NA,NA,NA,NA,NA,"Sep",76.8,51.2,1.92,0
"1997-10",1997,"10",NA,NA,NA,NA,NA,NA,"Oct",66.5,38.9,2.7,30.1
"1997-11",1997,"11",NA,NA,NA,NA,NA,NA,"Nov",49.6,26.2,1.52,18.2
"1997-12",1997,"12",NA,NA,NA,NA,NA,NA,"Dec",44.3,23.4,0.68,9.9
"1998-01",1998,"01",NA,NA,NA,NA,NA,NA,"Jan",48.6,24.4,1.07,10.4
"1998-02",1998,"02",NA,NA,NA,NA,NA,NA,"Feb",48,24.8,0.23,1.7
"1998-03",1998,"03",NA,NA,NA,NA,NA,NA,"Mar",52.1,25.2,3.41,42.9
"1998-04",1998,"04",NA,NA,NA,NA,NA,NA,"Apr",59.1,33.9,4.56,19.4
"1998-05",1998,"05",0.1908,0.099,0.0666,0.1458,NA,0.3087,"May",74.2,43.4,1.82,0
"1998-06",1998,"06",0.1782,0.1413,0.0909,0.2304,0.1629,0.3861,"Jun",77.6,47.8,1.85,NA
"1998-07",1998,"07",0.1989,0.1728,0.1206,0.2331,0.1674,0.4095,"Jul",86.6,58.9,4.02,0
"1998-08",1998,"08",NA,NA,NA,NA,NA,NA,"Aug",84.9,56.5,0.97,0
"1998-09",1998,"09",NA,NA,NA,NA,NA,NA,"Sep",82.3,51.8,0.66,0
"1998-10",1998,"10",NA,NA,NA,NA,NA,NA,"Oct",62.8,37.9,1.12,0
"1998-11",1998,"11",NA,NA,NA,NA,NA,NA,"Nov",55.2,32.8,1.53,9.5
"1998-12",1998,"12",NA,NA,NA,NA,NA,NA,"Dec",44.1,20.2,1.05,17.8
"1999-01",1999,"01",NA,NA,NA,NA,NA,NA,"Jan",48.5,23.9,0.65,9.7
"1999-02",1999,"02",NA,NA,NA,NA,NA,NA,"Feb",55.4,28.8,0.08,0.6
"1999-03",1999,"03",NA,NA,NA,NA,NA,NA,"Mar",60.3,31.7,1.09,6.6
"1999-04",1999,"04",0.081,NA,NA,NA,NA,NA,"Apr",57.2,32.2,7.55,37.2
"1999-05",1999,"05",0.2007,0.1098,0.1197,0.2322,0.1647,0.4347,"May",69.9,41.3,1.84,NA
"1999-06",1999,"06",0.1935,0.1989,0.1242,0.2376,0.1647,0.4275,"Jun",80.1,49.5,0.82,0
"1999-07",1999,"07",0.1962,0.1971,0.1107,0.2304,0.1683,0.4158,"Jul",88,58.7,2.54,0
"1999-08",1999,"08",NA,NA,NA,NA,NA,NA,"Aug",82.8,55.8,5.54,0
"1999-09",1999,"09",NA,NA,NA,NA,NA,NA,"Sep",73.1,43.8,2.62,1.6
"1999-10",1999,"10",NA,NA,NA,NA,NA,NA,"Oct",67.8,36,1.33,6.1
"1999-11",1999,"11",NA,NA,NA,NA,NA,NA,"Nov",64.2,32.3,0.81,10.5
"1999-12",1999,"12",NA,NA,NA,NA,NA,NA,"Dec",49,24.8,1.01,8.8
"2000-01",2000,"01",NA,NA,NA,NA,NA,NA,"Jan",48.1,25,0.14,4
"2000-02",2000,"02",NA,NA,NA,NA,NA,NA,"Feb",54.1,28.1,0.55,5.4
"2000-03",2000,"03",NA,NA,NA,NA,NA,NA,"Mar",56.2,29.7,2.56,26.6
"2000-04",2000,"04",0.1881,NA,NA,0.1998,0.1152,0.4194,"Apr",67.8,35,1.5,8.9
"2000-05",2000,"05",0.1836,0.1836,0.0963,0.2259,0.1665,0.4167,"May",76.2,46.1,1.6,0
"2000-06",2000,"06",0.1917,0.1998,0.1134,0.2385,0.1665,0.4239,"Jun",83.5,51.7,1.53,0
"2000-07",2000,"07",0.2007,0.1998,NA,0.2394,0.1683,0.4338,"Jul",89.9,58.9,2.09,0
"2000-08",2000,"08",NA,NA,NA,NA,NA,NA,"Aug",88.2,57.8,0.72,0
"2000-09",2000,"09",NA,NA,NA,NA,NA,NA,"Sep",78.8,47.3,2.51,6.5
"2000-10",2000,"10",NA,NA,NA,NA,NA,NA,"Oct",62.6,36.3,1.28,0.9
"2000-11",2000,"11",NA,NA,NA,NA,NA,NA,"Nov",43.4,19.3,0.89,10.9
"2000-12",2000,"12",NA,NA,NA,NA,NA,NA,"Dec",43.5,18.9,0.44,8.5
"2001-01",2001,"01",NA,NA,NA,NA,NA,NA,"Jan",44.2,21.7,0.73,10.3
"2001-02",2001,"02",NA,NA,NA,NA,NA,NA,"Feb",43.7,20.9,0.86,13.1
"2001-03",2001,"03",NA,NA,NA,NA,NA,NA,"Mar",52.5,29.1,2.01,16.6
"2001-04",2001,"04",0.1962,NA,NA,0.1647,0.1152,0.4239,"Apr",63.9,37.4,2.94,10.5
"2001-05",2001,"05",0.1881,0.1989,0.1161,0.2358,0.1665,0.4221,"May",72.2,44.6,3.62,6.5
"2001-06",2001,"06",0.1872,0.2007,0.126,0.2349,0.1674,0.4275,"Jun",84.7,53,1.09,NA
"2001-07",2001,"07",0.1845,0.198,0.1152,0.2385,0.1665,0.4185,"Jul",89.9,60.1,1.76,0
"2001-08",2001,"08",NA,NA,NA,NA,NA,NA,"Aug",86.1,57.6,1.64,0
"2001-09",2001,"09",NA,NA,NA,NA,NA,NA,"Sep",80.5,49.5,1.77,NA
"2001-10",2001,"10",NA,NA,NA,NA,NA,NA,"Oct",68.8,38.9,0.4,0.3
"2001-11",2001,"11",NA,NA,NA,NA,NA,NA,"Nov",57.2,30.5,1.02,7.3
"2001-12",2001,"12",NA,NA,NA,NA,NA,NA,"Dec",47.1,22.9,0.36,4.7
"2002-01",2002,"01",NA,NA,NA,NA,NA,NA,"Jan",45.1,21.1,1.07,18.5
"2002-02",2002,"02",NA,NA,NA,NA,NA,NA,"Feb",50.6,21.4,0.44,8.3
"2002-03",2002,"03",NA,NA,NA,NA,NA,NA,"Mar",53.1,22.3,1.5,22.6
"2002-04",2002,"04",0.1764,NA,NA,0.198,0.1161,0.4212,"Apr",68.4,37.3,0.2,0.1
"2002-05",2002,"05",0.1899,0.1989,0.1215,0.2394,0.1665,0.4275,"May",71.2,41.2,3.2,1.6
"2002-06",2002,"06",0.1872,0.1998,0.1215,0.234,0.1665,0.4131,"Jun",87.1,53.9,1.18,0
"2002-07",2002,"07",0.1872,0.2007,0.1134,0.2358,0.1665,0.4212,"Jul",93.4,60.2,0.09,0
"2002-08",2002,"08",NA,NA,NA,NA,NA,NA,"Aug",87.8,54.8,1.44,0
"2002-09",2002,"09",NA,NA,NA,NA,NA,NA,"Sep",77.6,50.5,1.52,0
"2002-10",2002,"10",NA,NA,NA,NA,NA,NA,"Oct",58.2,33.6,2.44,16.1
"2002-11",2002,"11",NA,NA,NA,NA,NA,NA,"Nov",52.6,28,0.78,13
"2002-12",2002,"12",NA,NA,NA,NA,NA,NA,"Dec",48.3,24.9,0.02,0.5
"2003-01",2003,"01",NA,NA,NA,NA,NA,NA,"Jan",53.9,26.5,0.09,0.5
"2003-02",2003,"02",NA,NA,NA,NA,NA,NA,"Feb",43.1,20,1.52,22.8
"2003-03",2003,"03",NA,NA,NA,NA,NA,NA,"Mar",56.4,30.9,5.44,34.7
"2003-04",2003,"04",NA,NA,NA,NA,NA,NA,"Apr",64,37.2,2.99,6.2
"2003-05",2003,"05",0.1881,0.1215,0.0648,0.2385,0.1656,0.423,"May",71.6,43.1,2.62,5.2
"2003-06",2003,"06",0.1998,0.1737,0.1242,0.2295,0.162,0.4185,"Jun",76.2,49.4,2.69,0
"2003-07",2003,"07",0.1962,0.1971,0.1152,0.2286,0.1683,0.4014,"Jul",92.4,59.3,0.71,0
"2003-08",2003,"08",NA,NA,NA,NA,NA,NA,"Aug",87.3,58.4,3.52,0
"2003-09",2003,"09",NA,NA,NA,NA,NA,NA,"Sep",75.6,45.4,0.35,0
"2003-10",2003,"10",NA,NA,NA,NA,NA,NA,"Oct",73.5,41.3,0.45,0.4
"2003-11",2003,"11",NA,NA,NA,NA,NA,NA,"Nov",49.8,28.1,0.8,7.5
"2003-12",2003,"12",NA,NA,NA,NA,NA,NA,"Dec",48.3,24.4,0.84,9.9
"2004-01",2004,"01",NA,NA,NA,NA,NA,NA,"Jan",47.3,23.5,0.82,12
"2004-02",2004,"02",NA,NA,NA,NA,NA,NA,"Feb",46.4,21.5,1.31,18
"2004-03",2004,"03",NA,NA,NA,NA,NA,NA,"Mar",62.8,33.5,1.09,7.9
"2004-04",2004,"04",0.189,NA,NA,NA,NA,NA,"Apr",61.4,37,5.66,14.9
"2004-05",2004,"05",0.1926,0.1125,0.1053,0.2151,0.1575,0.4203,"May",74.2,45.7,1.28,NA
"2004-06",2004,"06",0.1899,0.198,0.1116,0.2295,0.1665,0.423,"Jun",76.2,49.2,3.96,0
"2004-07",2004,"07",0.1953,0.1971,0.1017,0.2313,0.1611,0.4122,"Jul",83.5,54.8,3.44,0
"2004-08",2004,"08",NA,NA,NA,NA,NA,NA,"Aug",81,51.8,2.88,0
"2004-09",2004,"09",NA,NA,NA,NA,NA,NA,"Sep",77.9,47.8,2.07,0
"2004-10",2004,"10",NA,NA,NA,NA,NA,NA,"Oct",65,38.5,2.32,0
"2004-11",2004,"11",NA,NA,NA,NA,NA,NA,"Nov",50.6,28.8,1.99,17.6
"2004-12",2004,"12",NA,NA,NA,NA,NA,NA,"Dec",48.3,24.6,0.35,6.7
"2005-01",2005,"01",NA,NA,NA,NA,NA,NA,"Jan",47.2,23.7,1.4,15.9
"2005-02",2005,"02",NA,NA,NA,NA,NA,NA,"Feb",49.7,26.1,0.31,3.3
"2005-03",2005,"03",NA,NA,NA,NA,NA,NA,"Mar",53.9,30,1.22,11.2
"2005-04",2005,"04",0.1773,NA,NA,NA,NA,NA,"Apr",61.7,35.1,3.86,21.8
"2005-05",2005,"05",0.1917,0.1539,0.108,0.2313,0.1557,0.4302,"May",70.6,44.6,1.91,0.2
"2005-06",2005,"06",0.1863,0.198,0.1143,0.2349,0.1629,0.4194,"Jun",79.9,50.9,2.68,NA
"2005-07",2005,"07",0.1917,0.2007,0.1188,0.2358,0.1611,0.405,"Jul",91.6,58.5,0.42,0
"2005-08",2005,"08",NA,NA,NA,NA,NA,NA,"Aug",84.2,55.2,1.63,0
"2005-09",2005,"09",NA,NA,NA,NA,NA,NA,"Sep",81.6,50.8,0.42,0
"2005-10",2005,"10",NA,NA,NA,NA,NA,NA,"Oct",66.9,39.3,2.8,NA
"2005-11",2005,"11",NA,NA,NA,NA,NA,NA,"Nov",58.4,31.3,0.34,1.9
"2005-12",2005,"12",NA,NA,NA,NA,NA,NA,"Dec",46,21,0.43,6.3
"2006-01",2006,"01",NA,NA,NA,NA,NA,NA,"Jan",53.3,28.1,0.44,5.5
"2006-02",2006,"02",NA,NA,NA,NA,NA,NA,"Feb",46.4,21,0.68,11.4
"2006-03",2006,"03",NA,NA,NA,NA,NA,NA,"Mar",52.3,26.5,2.08,23.3
"2006-04",2006,"04",0.1953,NA,NA,0.1917,0.0945,0.4167,"Apr",69.7,38.1,1.04,2.9
"2006-05",2006,"05",0.1917,0.1998,0.1188,0.2367,0.1674,0.4239,"May",76,45.9,1.14,0.1
"2006-06",2006,"06",0.1917,0.2007,0.1179,0.2322,0.1674,0.4194,"Jun",88.8,54.4,1.32,NA
"2006-07",2006,"07",0.1917,0.2007,0.1224,0.2394,0.1683,0.4248,"Jul",88.8,59.9,2.63,0
"2006-08",2006,"08",NA,NA,NA,NA,NA,NA,"Aug",85.3,57.9,1.23,0
"2006-09",2006,"09",NA,NA,NA,NA,NA,NA,"Sep",72.9,43.9,1.25,0
"2006-10",2006,"10",NA,NA,NA,NA,NA,NA,"Oct",63.5,38.5,3.71,15.2
"2006-11",2006,"11",NA,NA,NA,NA,NA,NA,"Nov",56.4,30.3,0.74,12
"2006-12",2006,"12",NA,NA,NA,NA,NA,NA,"Dec",46.3,24.3,3.05,45.5
